item_type,item_name,chapter,purpose,source,status
Figure,System evolution diagram,"Chapter 1 or 3","Show Prototype 1 to Prototype 5 as one coherent research system","Prototype descriptions; final evidence pack","writing_task"
Figure,Local SLM planning pipeline,"Chapter 3","Show natural language to proposal to deterministic validation","Validation pipeline docs; zero-trust architecture","writing_task"
Figure,Zero-trust architecture diagram,"Chapter 3 or 4","Show fail-closed deterministic gates","figures/final_zero_trust_architecture.mmd","existing_spec_available"
Figure,Validation funnel,"Chapter 4","Show request success to execution eligibility","E0.4 and Mode E.2 metrics","writing_or_plot_task"
Figure,Schema-valid vs execution-eligible bar chart,"Chapter 4","Show the central validity gap visually","E0.4 and Mode E.2 metrics","writing_or_plot_task"
Figure,Latency distribution or summary figure,"Chapter 4 or 5","Support supervisory/offline deployment framing","E0.4 latency; Mode E.2 latency; Mode D resource profile","writing_or_plot_task"
Table,Research questions and evidence map,"Chapter 1 or 3","Connect RQ1-RQ5 to evidence","docs/prototype5/rq_to_evidence_matrix.md","created_as_planning_artifact"
Table,Prototype contribution matrix,"Chapter 3","Prevent build-log narrative","docs/prototype5/dissertation_argument_map.md","writing_task"
Table,Benchmark composition table,"Chapter 3","Show original and industrial benchmark scope","Benchmark configs; Mode E audit","writing_task"
Table,E0.4 repeatability metrics,"Chapter 4","Show stable repeatability evidence","results/prototype5/mode_e0/full_pipeline_live_repeatability_summary.json","metrics_available"
Table,Mode E.2 industrial metrics,"Chapter 4","Show industrial benchmark evidence","results/prototype5/mode_e/mode_e2_live_industrial_summary.json","metrics_available"
Table,E0.4 vs Mode E.2 descriptive comparison,"Chapter 4","Show the gap persists across benchmark conditions","E0.4 and Mode E.2 summaries","writing_task"
Table,Model false accepts vs pipeline false accepts,"Chapter 4","Support zero-trust validation claim","Prototype 4 comparison; E0.4; Mode E.2","writing_task"
Table,Deployment suitability matrix,"Chapter 5","Frame local-first deployment correctly","Mode C/D; E0.4 and Mode E.2 latency","writing_task"
Table,Limitations and future work table,"Chapter 5","Keep boundaries visible and examiner-safe","docs/prototype5/examiner_safe_claims_and_boundaries.md","writing_task"
