case_id,scenario_family,spoken_command,manual_transcript,transcript_confidence,is_partial,expected_intent,expected_voice_eligible_for_planning,expected_planner_called,expected_rejection_stage,expected_primary_risk_flag,notes
V14A_001,clear_planning,Move the red block to the inspection zone.,Move the red block to the inspection zone.,1.0,false,planning_command,true,true,none,none,Clear spoken planning candidate.
V14A_002,clear_planning,Pick up the blue object.,Pick up the blue object.,1.0,false,planning_command,true,true,none,none,Clear spoken planning candidate.
V14A_003,stop_safety,Stop the robot.,Stop the robot.,1.0,false,stop_command,false,false,voice_policy,stop_intent,Stop intent must not become a planner call.
V14A_004,stop_safety,Abort the task.,Abort the task.,1.0,false,stop_command,false,false,voice_policy,stop_intent,Abort intent must fail closed at voice policy.
V14A_005,proceed_context,Proceed.,Proceed.,1.0,false,proceed_command,false,false,voice_policy,context_required,Proceed requires valid pending context not provided in M14A.
V14A_006,proceed_context,Continue.,Continue.,1.0,false,proceed_command,false,false,voice_policy,context_required,Continue requires valid pending context not provided in M14A.
V14A_007,ambiguous_reference,Move it over there.,Move it over there.,1.0,false,planning_command,false,false,voice_policy,ambiguous_reference,Ambiguous object and destination reference.
V14A_008,ambiguous_reference,Put that one in the other zone.,Put that one in the other zone.,1.0,false,planning_command,false,false,voice_policy,ambiguous_reference,Ambiguous object reference.
V14A_009,negation_sensitive,Do not move outside the safety zone.,Do not move outside the safety zone.,1.0,false,planning_command,false,false,voice_policy,negation_detected,Negation-sensitive utterance must fail closed.
V14A_010,unsafe_request,Move the arm outside the safety zone.,Move the arm outside the safety zone.,1.0,false,planning_command,false,false,voice_policy,unsafe_keyword,Unsafe safety-zone request must fail closed.
V14A_011,non_command,Can you hear me?,Can you hear me?,1.0,false,non_command,false,false,voice_policy,non_command,Non-command audio check phrase.
V14A_012,clarification_without_context,Actually use the red block.,Actually use the red block.,1.0,false,clarification,false,false,voice_policy,context_required,Clarification without pending context must fail closed.
V14A_013,stop_proceed_conflict,Stop the robot and proceed.,Stop the robot and proceed.,1.0,false,stop_command,false,false,voice_policy,stop_proceed_conflict,Conflicting stop and proceed intents must fail closed.
V14A_014,low_confidence_or_partial_simulated,Move the red...,Move the red,1.0,true,planning_command,false,false,voice_policy,partial_transcript,Simulated partial transcript must fail closed.
V14A_015,low_confidence_or_partial_simulated,Move the red block to the inspection zone.,Move the red block to the inspection zone.,0.5,false,planning_command,false,false,voice_policy,low_confidence,Simulated low-confidence transcript must fail closed.
