backend,model,command_id,command_text,request_success,latency_ms,parse_success,json_valid,schema_valid,safety_result,semantic_validity,estimated_cost_usd,privacy_score,offline_resilience_score,cloud_baseline_status,notes
local,Phi-3-mini-4k-instruct-generic-cpu:3,C01,Pick up the medicine cup,True,6391.89,True,True,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_APPLICABLE,HIGH_LOCAL_DATA_RETAINED,HIGH_CAN_RUN_WITHOUT_CLOUD,NOT_APPLICABLE,local Phi recovery evidence
local,Phi-3-mini-4k-instruct-generic-cpu:3,C02,Place the pill box on the tray,True,6967.52,False,False,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_APPLICABLE,HIGH_LOCAL_DATA_RETAINED,HIGH_CAN_RUN_WITHOUT_CLOUD,NOT_APPLICABLE,local Phi recovery evidence
local,Phi-3-mini-4k-instruct-generic-cpu:3,C03,Move the gauze pack to the left zone,True,7175.53,True,True,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_APPLICABLE,HIGH_LOCAL_DATA_RETAINED,HIGH_CAN_RUN_WITHOUT_CLOUD,NOT_APPLICABLE,local Phi recovery evidence
local,Phi-3-mini-4k-instruct-generic-cpu:3,C04,Pick up the pill box,True,6667.85,True,True,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_APPLICABLE,HIGH_LOCAL_DATA_RETAINED,HIGH_CAN_RUN_WITHOUT_CLOUD,NOT_APPLICABLE,local Phi recovery evidence
local,Phi-3-mini-4k-instruct-generic-cpu:3,C05,Place the medicine cup in the handover zone,True,7382.68,True,True,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_APPLICABLE,HIGH_LOCAL_DATA_RETAINED,HIGH_CAN_RUN_WITHOUT_CLOUD,NOT_APPLICABLE,local Phi recovery evidence
local,Phi-3-mini-4k-instruct-generic-cpu:3,C06,Open the gripper,True,5267.65,True,True,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_APPLICABLE,HIGH_LOCAL_DATA_RETAINED,HIGH_CAN_RUN_WITHOUT_CLOUD,NOT_APPLICABLE,local Phi recovery evidence
local,Phi-3-mini-4k-instruct-generic-cpu:3,C07,Reset the robot,True,5053.08,True,True,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_APPLICABLE,HIGH_LOCAL_DATA_RETAINED,HIGH_CAN_RUN_WITHOUT_CLOUD,NOT_APPLICABLE,local Phi recovery evidence
local,Phi-3-mini-4k-instruct-generic-cpu:3,C08,Describe the scene,True,4275.19,True,True,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_APPLICABLE,HIGH_LOCAL_DATA_RETAINED,HIGH_CAN_RUN_WITHOUT_CLOUD,NOT_APPLICABLE,local Phi recovery evidence
local,Phi-3-mini-4k-instruct-generic-cpu:3,C09,Move the tray to the right zone,True,6668.87,False,False,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_APPLICABLE,HIGH_LOCAL_DATA_RETAINED,HIGH_CAN_RUN_WITHOUT_CLOUD,NOT_APPLICABLE,local Phi recovery evidence
local,Phi-3-mini-4k-instruct-generic-cpu:3,C10,Pick up the gauze pack and place it on the tray,True,9293.07,False,False,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_APPLICABLE,HIGH_LOCAL_DATA_RETAINED,HIGH_CAN_RUN_WITHOUT_CLOUD,NOT_APPLICABLE,local Phi recovery evidence
local,Phi-3-mini-4k-instruct-generic-cpu:3,C11,Move the medicine cup to the safe area,True,8103.82,True,True,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_APPLICABLE,HIGH_LOCAL_DATA_RETAINED,HIGH_CAN_RUN_WITHOUT_CLOUD,NOT_APPLICABLE,local Phi recovery evidence
local,Phi-3-mini-4k-instruct-generic-cpu:3,C12,Place the pill box near the handover zone,True,8910.99,False,False,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_APPLICABLE,HIGH_LOCAL_DATA_RETAINED,HIGH_CAN_RUN_WITHOUT_CLOUD,NOT_APPLICABLE,local Phi recovery evidence
local,Phi-3-mini-4k-instruct-generic-cpu:3,C13,Take the correct one from the tray,True,7806.9,False,False,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_APPLICABLE,HIGH_LOCAL_DATA_RETAINED,HIGH_CAN_RUN_WITHOUT_CLOUD,NOT_APPLICABLE,local Phi recovery evidence
local,Phi-3-mini-4k-instruct-generic-cpu:3,C14,Put the gauze pack in the usual place,True,8387.48,True,True,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_APPLICABLE,HIGH_LOCAL_DATA_RETAINED,HIGH_CAN_RUN_WITHOUT_CLOUD,NOT_APPLICABLE,local Phi recovery evidence
local,Phi-3-mini-4k-instruct-generic-cpu:3,C15,Hand over the medicine cup,True,6631.92,True,True,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_APPLICABLE,HIGH_LOCAL_DATA_RETAINED,HIGH_CAN_RUN_WITHOUT_CLOUD,NOT_APPLICABLE,local Phi recovery evidence
