claim_id,claim,prototype_or_mode,evidence_file,metrics,evidence_status,claim_boundary,dissertation_relevance,file_exists
C1,"Local SLMs can generate parseable, JSON-valid, and schema-valid robot action proposals under the benchmark.",Prototype 3; Prototype 5 Mode B,results/prototype5/final_model_comparison.csv; results/prototype5/recovery/phi/phi_recovery_summary.csv,parse_success; json_valid; schema_valid,PROVEN,Benchmark-only result for detected local models and retained Phi response evidence.,Supports RQ1 structured-output reliability.,true
C2,Schema validity is necessary but not sufficient for execution eligibility.,Prototype 3,results/prototype5/final_model_comparison.csv,schema_valid_rate; execution_eligible_rate,PROVEN,Applies to the evaluated benchmark and validation policy.,Central dissertation claim and RQ2.,true
C3,"Schema-valid outputs can still fail semantic, safety, or execution-eligibility checks.",Prototype 3; Prototype 4,results/prototype5/final_model_comparison.csv; results/prototype5/final_zero_trust_comparison.csv,schema_valid_rate; unsafe_false_accepts; execution_eligible_rate,PROVEN,Does not imply every schema-valid failure mode has been exhaustively covered.,Justifies zero-trust validation after schema checks.,true
C4,Model-level false accepts should be separated from pipeline-level false accepts.,Prototype 3; Prototype 4,results/prototype5/final_model_comparison.csv; results/prototype5/final_zero_trust_comparison.csv,false_accept_count; unsafe_false_accepts,PROVEN,Terminology is tied to the implemented benchmark and pipeline modes.,Prevents overclaiming model output quality as pipeline safety.,true
C5,Zero-trust validation can reduce unsafe pipeline-level false accepts under the evaluated policy.,Prototype 4,results/prototype5/final_zero_trust_comparison.csv; results/prototype5/final_safety_latency_summary.csv,unsafe_false_accepts; unsafe_false_accept_rate,PROVEN,Not real-world robot safety certification.,Supports RQ2 and the zero-trust safety argument.,true
C6,Ambiguous commands reduce execution eligibility and increase the need for rejection or clarification.,Prototype 4 extensions,results/prototype5/final_extension_summary.csv; results/prototype5/final_dissertation_metrics.md,ambiguity decisions; clarification cases; rejection behaviour,SUPPORTED,Detailed per-ambiguity raw files may live in prior prototype repositories.,Supports RQ3 ambiguity discussion.,true
C7,"Local Foundry inference provides privacy, data-locality, and offline-resilience advantages, but may have latency and resource costs.",Prototype 5 Mode C; Prototype 5 Mode D,results/prototype5/mode_c/local_vs_cloud_summary.json; results/prototype5/mode_d/mode_d_final_evidence_summary.json,privacy_comparison; offline_resilience_comparison; local_mean_latency_ms; cpu_usage,SUPPORTED,"Privacy and offline resilience are architectural/deployment properties, not quantitative safety results.",Supports local-first deployment trade-off discussion.,true
C8,Cloud inference can be faster or more JSON-consistent under current benchmark conditions.,Prototype 5 Mode C,results/prototype5/mode_c/local_vs_cloud_summary.json; results/prototype5/mode_c/local_vs_cloud_results.csv,cloud_mean_latency_ms; local_mean_latency_ms; cloud_json_valid_rate; local_json_valid_rate,PROVEN,Current API/model/run conditions only; not a universal cloud superiority claim.,Supports balanced local-vs-cloud comparison.,true
C9,Foundry Local resource profiling shows local inference consumes measurable CPU and memory on the host.,Prototype 5 Mode D,results/prototype5/mode_d/mode_d_final_evidence_summary.json; results/prototype5/mode_d/manual_live_30_command_foundry_process_profile.csv,normalized_mean_cpu; memory_delta; mean_latency_ms,PROVEN,"Host-specific; GPU/NPU counters were not detected, so no hardware acceleration claim is made.",Supports resource feasibility and deployment-cost discussion.,true
C10,"The current benchmark is exploratory and bounded, not a full industrial safety certification.",Prototype 5 final documentation,docs/benchmark_card.md; docs/claim_boundaries.md; docs/prototype5/benchmark_representativeness.md,benchmark_size; caveat; claim_boundary,LIMITED,"The benchmark supports bounded dissertation claims, not exhaustive industrial coverage.",Defines validity limits and future work.,true
