claim,status,evidence_source,safe_dissertation_wording,unsafe_wording_to_avoid
Prototype 1 established baseline planner-validator-executor architecture.,PROVEN,"Prototype 1 audit summary/table, where present.",Prototype 1 documents the baseline planner-validator-executor architecture used as the starting point for later prototypes.,Prototype 1 proves final robot safety or deployment readiness.
Prototype 2 established deterministic schema and safety foundation.,PROVEN,"Prototype 2 audit summary/table, where present.",Prototype 2 documents deterministic schema and safety checks that informed later validation stages.,Prototype 2 alone proves semantic safety under all robot tasks.
Prototype 3 provides Qwen-family CPU model-comparison evidence.,PROVEN,Prototype 3 rq5_comparison.csv and evidence pack.,Prototype 3 compares available Qwen-family CPU model variants on the benchmark evidence set.,Prototype 3 compares every local SLM family or hardware target.
"Prototype 3 provides semantic validity, false accept, false reject, and latency evidence.",PROVEN,Prototype 3 RQ5 summaries and run evidence.,"Prototype 3 reports schema validity, execution eligibility, false accepts, false rejects, correct rejects, and latency for the evaluated Qwen CPU runs.",Prototype 3 proves production-grade semantic correctness.
Prototype 4 provides execution-grounded zero-trust evaluation evidence.,PROVEN,Prototype 4 execution comparison and summary files.,Prototype 4 provides execution-record evidence comparing baseline trust and zero-trust pipeline modes.,Prototype 4 proves physical robot deployment safety.
Prototype 4 shows unsafe false accepts reduced from baseline to zero-trust pipeline.,PROVEN,Prototype 4 execution comparison grouped by pipeline mode.,"In the available Prototype 4 execution records, unsafe false accepts are reduced from the baseline trust mode to zero in the zero-trust pipeline.",Zero-trust eliminates every possible unsafe robot action.
Phase 4.7 provides ambiguity-adaptive gating evidence.,PROVEN,Phase 4.7 ambiguity_gate_summary.json.,"Phase 4.7 reports ambiguity-adaptive EXECUTE, CLARIFY, and REJECT decisions for the evaluated command set.",Phase 4.7 proves natural-language ambiguity is solved generally.
Phase 4.8 provides simulated clarification recovery evidence.,PROVEN,Phase 4.8 clarification_recovery_summary.json.,Phase 4.8 reports simulated clarification recovery on the evaluated clarification cases.,Phase 4.8 proves live human-dialogue recovery.
Phase 4.9 provides formal safety specification evidence.,PROVEN,Phase 4.9 formal_safety_audit_summary.json.,Phase 4.9 reports formal safety cases and unsafe-case rejection evidence.,Phase 4.9 is a complete formal proof of robot safety.
FP16/INT8/INT4 custom precision artifact evidence is present.,PROVEN,C:\Users\reach\Microsoft-IXN-Prototype5\results\prototype5\recovery\custom_quantisation\qwen2_5_0_5b_fp16_inference_model.json; C:\Users\reach\Microsoft-IXN-Prototype5\results\prototype5\recovery\custom_quantisation\qwen2_5_0_5b_int4_inference_model.json; C:\Users\reach\Microsoft-IXN-Prototype5\results\prototype5\recovery\custom_quantisation\qwen2_5_0_5b_int8_ort_dynamic_inference_model.json,"Complete custom precision evidence was recovered for FP16, INT8 and INT4 using explicit Prototype 5 metadata precision fields.",Do not describe this as built-in Foundry Local catalogue precision metadata or infer precision from CPU/GPU model labels.
Built-in Foundry Local precision metadata is missing.,MISSING,No built-in Foundry catalogue precision field was available in the loaded evidence.,Built-in Foundry Local catalogue metadata did not expose explicit precision fields; the precision claim is based on custom Prototype 5 artifacts.,"Built-in Foundry Local CPU/GPU model labels prove FP16, INT8, or INT4 precision."
Phi-family evaluation evidence is present.,PRESENT,C:\Users\reach\Microsoft-IXN-Prototype5\results\prototype5\recovery\phi\foundry_model_inventory.json; C:\Users\reach\Microsoft-IXN-Prototype5\results\prototype5\recovery\phi\phi_recovery_results.jsonl; C:\Users\reach\Microsoft-IXN-Prototype5\results\prototype5\recovery\phi\phi_recovery_summary.csv; C:\Users\reach\Microsoft-IXN-Prototype5\results\prototype5\recovery\phi\phi_recovery_manifest.json,Prototype 5 recovered Phi-family Foundry Local response evidence. Semantic validity remains NOT_EVALUATED.,"Do not claim semantic validity, safety performance, or full Phi evaluation beyond recorded Foundry Local responses."
cloud-vs-local comparison is missing.,MISSING,No explicit Prototype 5 input evidence found.,cloud-vs-local comparison is missing.,Do not claim cloud-vs-local performance or safety comparison.
GPU/NPU profiling is missing.,MISSING,No explicit Prototype 5 input evidence found.,GPU/NPU profiling is missing.,Do not claim GPU or NPU profiling evidence.
memory footprint measurement is missing.,MISSING,No explicit Prototype 5 input evidence found.,memory footprint measurement is missing.,Do not claim measured memory footprint.
physical robot execution is not proven.,MISSING,No explicit Prototype 5 input evidence found.,physical robot execution is not proven.,Do not claim physical robot execution or deployment validation.
