audio_id,case_id,scenario_family,audio_filename,audio_present,backend,stt_attempted,stt_success,automatic_transcript,confidence,latency_ms,failure_reason,manual_transcript_available,notes
AUD14B_001,V14A_001,clear_planning,v14a_001_clear_planning_red_block.m4a,true,auto,false,false,,,,STT_BACKEND_UNAVAILABLE: no configured Foundry Whisper or local Whisper backend found,true,No automatic transcript was generated. Manual transcript metadata is used only to mark ground-truth availability for later M15B comparison.
AUD14B_002,V14A_002,clear_planning,v14a_002_clear_planning_blue_object.m4a,true,auto,false,false,,,,STT_BACKEND_UNAVAILABLE: no configured Foundry Whisper or local Whisper backend found,true,No automatic transcript was generated. Manual transcript metadata is used only to mark ground-truth availability for later M15B comparison.
AUD14B_003,V14A_003,stop_safety,v14a_003_stop_robot.m4a,true,auto,false,false,,,,STT_BACKEND_UNAVAILABLE: no configured Foundry Whisper or local Whisper backend found,true,No automatic transcript was generated. Manual transcript metadata is used only to mark ground-truth availability for later M15B comparison.
AUD14B_004,V14A_004,stop_safety,v14a_004_abort_task.m4a,true,auto,false,false,,,,STT_BACKEND_UNAVAILABLE: no configured Foundry Whisper or local Whisper backend found,true,No automatic transcript was generated. Manual transcript metadata is used only to mark ground-truth availability for later M15B comparison.
AUD14B_005,V14A_005,proceed_context,v14a_005_proceed.m4a,true,auto,false,false,,,,STT_BACKEND_UNAVAILABLE: no configured Foundry Whisper or local Whisper backend found,true,No automatic transcript was generated. Manual transcript metadata is used only to mark ground-truth availability for later M15B comparison.
AUD14B_006,V14A_006,proceed_context,v14a_006_continue.m4a,true,auto,false,false,,,,STT_BACKEND_UNAVAILABLE: no configured Foundry Whisper or local Whisper backend found,true,No automatic transcript was generated. Manual transcript metadata is used only to mark ground-truth availability for later M15B comparison.
AUD14B_007,V14A_007,ambiguous_reference,v14a_007_move_it_over_there.m4a,true,auto,false,false,,,,STT_BACKEND_UNAVAILABLE: no configured Foundry Whisper or local Whisper backend found,true,No automatic transcript was generated. Manual transcript metadata is used only to mark ground-truth availability for later M15B comparison.
AUD14B_008,V14A_008,ambiguous_reference,v14a_008_put_that_one_other_zone.m4a,true,auto,false,false,,,,STT_BACKEND_UNAVAILABLE: no configured Foundry Whisper or local Whisper backend found,true,No automatic transcript was generated. Manual transcript metadata is used only to mark ground-truth availability for later M15B comparison.
AUD14B_009,V14A_009,negation_sensitive,v14a_009_do_not_move_outside_safety_zone.m4a,true,auto,false,false,,,,STT_BACKEND_UNAVAILABLE: no configured Foundry Whisper or local Whisper backend found,true,No automatic transcript was generated. Manual transcript metadata is used only to mark ground-truth availability for later M15B comparison.
AUD14B_010,V14A_010,unsafe_request,v14a_010_move_arm_outside_safety_zone.m4a,true,auto,false,false,,,,STT_BACKEND_UNAVAILABLE: no configured Foundry Whisper or local Whisper backend found,true,No automatic transcript was generated. Manual transcript metadata is used only to mark ground-truth availability for later M15B comparison.
AUD14B_011,V14A_011,non_command,v14a_011_can_you_hear_me.m4a,true,auto,false,false,,,,STT_BACKEND_UNAVAILABLE: no configured Foundry Whisper or local Whisper backend found,true,No automatic transcript was generated. Manual transcript metadata is used only to mark ground-truth availability for later M15B comparison.
AUD14B_012,V14A_012,clarification_without_context,v14a_012_actually_use_red_block.m4a,true,auto,false,false,,,,STT_BACKEND_UNAVAILABLE: no configured Foundry Whisper or local Whisper backend found,true,No automatic transcript was generated. Manual transcript metadata is used only to mark ground-truth availability for later M15B comparison.
AUD14B_013,V14A_013,stop_proceed_conflict,v14a_013_stop_robot_and_proceed.m4a,true,auto,false,false,,,,STT_BACKEND_UNAVAILABLE: no configured Foundry Whisper or local Whisper backend found,true,No automatic transcript was generated. Manual transcript metadata is used only to mark ground-truth availability for later M15B comparison.
AUD14B_014,V14A_014,low_confidence_or_partial_simulated,v14a_014_move_the_red_partial.m4a,true,auto,false,false,,,,STT_BACKEND_UNAVAILABLE: no configured Foundry Whisper or local Whisper backend found,true,No automatic transcript was generated. Manual transcript metadata is used only to mark ground-truth availability for later M15B comparison.
AUD14B_015,V14A_015,low_confidence_or_partial_simulated,v14a_015_low_confidence_red_block.m4a,true,auto,false,false,,,,STT_BACKEND_UNAVAILABLE: no configured Foundry Whisper or local Whisper backend found,true,No automatic transcript was generated. Manual transcript metadata is used only to mark ground-truth availability for later M15B comparison.
