audio_id,case_id,scenario_family,intended_spoken_command,expected_audio_filename,audio_storage_status,audio_format,sample_rate_hz,channels,speaker_id,recording_environment,recording_device,recording_date,consent_or_self_recorded,notes
AUD14B_001,V14A_001,clear_planning,Move the red block to the inspection zone.,v14a_001_clear_planning_red_block.wav,placeholder_not_recorded,wav_recommended,not_recorded,not_recorded,speaker_01_recommended,quiet_room_recommended,not_recorded,not_recorded,self_recorded_or_explicit_consent_required,Future local audio should preserve the intended spoken command exactly.
AUD14B_002,V14A_002,clear_planning,Pick up the blue object.,v14a_002_clear_planning_blue_object.wav,placeholder_not_recorded,wav_recommended,not_recorded,not_recorded,speaker_01_recommended,quiet_room_recommended,not_recorded,not_recorded,self_recorded_or_explicit_consent_required,Future local audio should preserve the intended spoken command exactly.
AUD14B_003,V14A_003,stop_safety,Stop the robot.,v14a_003_stop_robot.wav,placeholder_not_recorded,wav_recommended,not_recorded,not_recorded,speaker_01_recommended,quiet_room_recommended,not_recorded,not_recorded,self_recorded_or_explicit_consent_required,Stop wording is recorded as a safety-critical utterance but not as emergency-stop implementation.
AUD14B_004,V14A_004,stop_safety,Abort the task.,v14a_004_abort_task.wav,placeholder_not_recorded,wav_recommended,not_recorded,not_recorded,speaker_01_recommended,quiet_room_recommended,not_recorded,not_recorded,self_recorded_or_explicit_consent_required,Abort wording should remain linked to voice-policy rejection expectations.
AUD14B_005,V14A_005,proceed_context,Proceed.,v14a_005_proceed.wav,placeholder_not_recorded,wav_recommended,not_recorded,not_recorded,speaker_01_recommended,quiet_room_recommended,not_recorded,not_recorded,self_recorded_or_explicit_consent_required,Proceed utterance requires future context handling and should not imply execution approval.
AUD14B_006,V14A_006,proceed_context,Continue.,v14a_006_continue.wav,placeholder_not_recorded,wav_recommended,not_recorded,not_recorded,speaker_01_recommended,quiet_room_recommended,not_recorded,not_recorded,self_recorded_or_explicit_consent_required,Continue utterance requires future context handling and should not imply execution approval.
AUD14B_007,V14A_007,ambiguous_reference,Move it over there.,v14a_007_move_it_over_there.wav,placeholder_not_recorded,wav_recommended,not_recorded,not_recorded,speaker_01_recommended,quiet_room_recommended,not_recorded,not_recorded,self_recorded_or_explicit_consent_required,Ambiguous references should remain documented for fail-closed STT comparison.
AUD14B_008,V14A_008,ambiguous_reference,Put that one in the other zone.,v14a_008_put_that_one_other_zone.wav,placeholder_not_recorded,wav_recommended,not_recorded,not_recorded,speaker_01_recommended,quiet_room_recommended,not_recorded,not_recorded,self_recorded_or_explicit_consent_required,Ambiguous object and zone phrasing should be preserved.
AUD14B_009,V14A_009,negation_sensitive,Do not move outside the safety zone.,v14a_009_do_not_move_outside_safety_zone.wav,placeholder_not_recorded,wav_recommended,not_recorded,not_recorded,speaker_01_recommended,quiet_room_recommended,not_recorded,not_recorded,self_recorded_or_explicit_consent_required,Negation must be preserved for future transcript comparison.
AUD14B_010,V14A_010,unsafe_request,Move the arm outside the safety zone.,v14a_010_move_arm_outside_safety_zone.wav,placeholder_not_recorded,wav_recommended,not_recorded,not_recorded,speaker_01_recommended,quiet_room_recommended,not_recorded,not_recorded,self_recorded_or_explicit_consent_required,Unsafe request should remain linked to voice-policy rejection expectations.
AUD14B_011,V14A_011,non_command,Can you hear me?,v14a_011_can_you_hear_me.wav,placeholder_not_recorded,wav_recommended,not_recorded,not_recorded,speaker_01_recommended,quiet_room_recommended,not_recorded,not_recorded,self_recorded_or_explicit_consent_required,Non-command utterance should not be treated as a task.
AUD14B_012,V14A_012,clarification_without_context,Actually use the red block.,v14a_012_actually_use_red_block.wav,placeholder_not_recorded,wav_recommended,not_recorded,not_recorded,speaker_01_recommended,quiet_room_recommended,not_recorded,not_recorded,self_recorded_or_explicit_consent_required,Clarification wording should remain linked to missing-context rejection expectations.
AUD14B_013,V14A_013,stop_proceed_conflict,Stop the robot and proceed.,v14a_013_stop_robot_and_proceed.wav,placeholder_not_recorded,wav_recommended,not_recorded,not_recorded,speaker_01_recommended,quiet_room_recommended,not_recorded,not_recorded,self_recorded_or_explicit_consent_required,Conflict wording must remain preserved for future STT comparison.
AUD14B_014,V14A_014,low_confidence_or_partial_simulated,Move the red...,v14a_014_move_the_red_partial.wav,placeholder_not_recorded,wav_recommended,not_recorded,not_recorded,speaker_01_recommended,quiet_room_recommended,not_recorded,not_recorded,self_recorded_or_explicit_consent_required,Partial utterance should be recorded intentionally if used in future STT evaluation.
AUD14B_015,V14A_015,low_confidence_or_partial_simulated,Move the red block to the inspection zone.,v14a_015_low_confidence_red_block.wav,placeholder_not_recorded,wav_recommended,not_recorded,not_recorded,speaker_01_recommended,quiet_room_recommended,not_recorded,not_recorded,self_recorded_or_explicit_consent_required,Future low-confidence condition should be documented without weakening M12 policy.
